Hotel 31,hotel-31-new-york,http://www.yelp.com/biz/hotel-31-new-york,49
New York Marriott Marquis,new-york-marriott-marquis-new-york-3,http://www.yelp.com/biz/new-york-marriott-marquis-new-york-3,363
Eventi Hotel- a Kimpton Hotel,eventi-hotel-a-kimpton-hotel-new-york,http://www.yelp.com/biz/eventi-hotel-a-kimpton-hotel-new-york,157
Hampton Inn Manhattan Chelsea,hampton-inn-manhattan-chelsea-new-york-2,http://www.yelp.com/biz/hampton-inn-manhattan-chelsea-new-york-2,44
The NoMad Hotel,the-nomad-hotel-new-york,http://www.yelp.com/biz/the-nomad-hotel-new-york,48
Hilton Garden Inn New York/Tribeca,hilton-garden-inn-new-york-tribeca-new-york-city,http://www.yelp.com/biz/hilton-garden-inn-new-york-tribeca-new-york-city,58
Affinia Shelburne,affinia-shelburne-new-york,http://www.yelp.com/biz/affinia-shelburne-new-york,89
Larchmont Hotel,larchmont-hotel-new-york,http://www.yelp.com/biz/larchmont-hotel-new-york,52
Hyatt 48 Lex,hyatt-48-lex-ny,http://www.yelp.com/biz/hyatt-48-lex-ny,42
Hotel on Rivington,hotel-on-rivington-new-york-2,http://www.yelp.com/biz/hotel-on-rivington-new-york-2,135
Staybridge Suites Times Square - New York City,staybridge-suites-times-square-new-york-city-new-york-city,http://www.yelp.com/biz/staybridge-suites-times-square-new-york-city-new-york-city,79
New York Marriott Downtown,new-york-marriott-downtown-new-york-2,http://www.yelp.com/biz/new-york-marriott-downtown-new-york-2,84
Soho Grand Hotel,soho-grand-hotel-new-york,http://www.yelp.com/biz/soho-grand-hotel-new-york,155
Hotel Mela,hotel-mela-new-york,http://www.yelp.com/biz/hotel-mela-new-york,104
The Box House Hotel,the-box-house-hotel-brooklyn,http://www.yelp.com/biz/the-box-house-hotel-brooklyn,13
Aloft Harlem,aloft-harlem-new-york,http://www.yelp.com/biz/aloft-harlem-new-york,52
THE OUT NYC,the-out-nyc-new-york,http://www.yelp.com/biz/the-out-nyc-new-york,54
Tribeca Grand Hotel,tribeca-grand-hotel-new-york,http://www.yelp.com/biz/tribeca-grand-hotel-new-york,177
Best Western Bowery Hanbee Hotel,best-western-bowery-hanbee-hotel-new-york,http://www.yelp.com/biz/best-western-bowery-hanbee-hotel-new-york,38
The Jade Hotel,the-jade-hotel-new-york,http://www.yelp.com/biz/the-jade-hotel-new-york,25
Le Parker Meridien,le-parker-meridien-new-york,http://www.yelp.com/biz/le-parker-meridien-new-york,248
Hotel 17,hotel-17-new-york,http://www.yelp.com/biz/hotel-17-new-york,67
Belvedere Hotel,belvedere-hotel-new-york,http://www.yelp.com/biz/belvedere-hotel-new-york,102
The Surrey,the-surrey-new-york,http://www.yelp.com/biz/the-surrey-new-york,64
Maritime Hotel,maritime-hotel-new-york,http://www.yelp.com/biz/maritime-hotel-new-york,73
The Westin Jersey City Newport,the-westin-jersey-city-newport-jersey-city,http://www.yelp.com/biz/the-westin-jersey-city-newport-jersey-city,65
Refinery Hotel,refinery-hotel-new-york,http://www.yelp.com/biz/refinery-hotel-new-york,45
W New York - Times Square,w-new-york-times-square-new-york-2,http://www.yelp.com/biz/w-new-york-times-square-new-york-2,245
Waldorf Astoria,waldorf-astoria-new-york,http://www.yelp.com/biz/waldorf-astoria-new-york,445
New York Marriott at the Brooklyn Bridge,new-york-marriott-at-the-brooklyn-bridge-brooklyn,http://www.yelp.com/biz/new-york-marriott-at-the-brooklyn-bridge-brooklyn,80
Four Points by Sheraton Manhattan SoHo Village,four-points-by-sheraton-manhattan-soho-village-new-york,http://www.yelp.com/biz/four-points-by-sheraton-manhattan-soho-village-new-york,90
Smyth TriBeCa- a Thompson Hotel,smyth-tribeca-a-thompson-hotel-new-york,http://www.yelp.com/biz/smyth-tribeca-a-thompson-hotel-new-york,62
Grand Hyatt New York,grand-hyatt-new-york-new-york,http://www.yelp.com/biz/grand-hyatt-new-york-new-york,295
Yotel New York,yotel-new-york-new-york,http://www.yelp.com/biz/yotel-new-york-new-york,359
Gramercy Park Hotel,gramercy-park-hotel-new-york,http://www.yelp.com/biz/gramercy-park-hotel-new-york,104
Bryant Park Hotel,bryant-park-hotel-new-york,http://www.yelp.com/biz/bryant-park-hotel-new-york,75
Courtyard By Marriott Central Park,courtyard-by-marriott-central-park-new-york,http://www.yelp.com/biz/courtyard-by-marriott-central-park-new-york,15
the Quin,the-quin-new-york,http://www.yelp.com/biz/the-quin-new-york,19
Wythe Hotel,wythe-hotel-new-york,http://www.yelp.com/biz/wythe-hotel-new-york,111
The Jane,the-jane-new-york,http://www.yelp.com/biz/the-jane-new-york,336
Hotel Le Jolie,hotel-le-jolie-brooklyn,http://www.yelp.com/biz/hotel-le-jolie-brooklyn,39
JW Marriott Essex House New York,jw-marriott-essex-house-new-york-new-york-3,http://www.yelp.com/biz/jw-marriott-essex-house-new-york-new-york-3,100
DoubleTree Suites by Hilton Times Square,doubletree-suites-by-hilton-times-square-new-york-3,http://www.yelp.com/biz/doubletree-suites-by-hilton-times-square-new-york-3,107
Courtyard New York Manhattan/Fifth Avenue,courtyard-new-york-manhattan-fifth-avenue-new-york,http://www.yelp.com/biz/courtyard-new-york-manhattan-fifth-avenue-new-york,29
The Westin New York Grand Central,the-westin-new-york-grand-central-new-york,http://www.yelp.com/biz/the-westin-new-york-grand-central-new-york,81
Wyndham Garden Manhattan Chelsea West,wyndham-garden-manhattan-chelsea-west-new-york-city,http://www.yelp.com/biz/wyndham-garden-manhattan-chelsea-west-new-york-city,59
Hotel East Houston,hotel-east-houston-new-york,http://www.yelp.com/biz/hotel-east-houston-new-york,44
Hilton Times Square,hilton-times-square-new-york,http://www.yelp.com/biz/hilton-times-square-new-york,121
Hotel Indigo,hotel-indigo-downtown-brooklyn,http://www.yelp.com/biz/hotel-indigo-downtown-brooklyn,47
Novotel New York Times Square,novotel-new-york-times-square-new-york-3,http://www.yelp.com/biz/novotel-new-york-times-square-new-york-3,18
